File Name,File Path,Size (bytes),Created,Modified,Extension,Title,Author,Company
auth.py,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\auth.py,477,Thu Feb  6 11:45:42 2025,Thu Feb  6 11:47:44 2025,.py,auth.py,477 bytes,Python Source File
credentials.json,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\credentials.json,2358,Thu Feb  6 11:44:43 2025,Thu Feb  6 11:36:46 2025,.json,credentials.json,2.30 KB,JSON File
fetchStructure.py,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\fetchStructure.py,1033,Thu Feb  6 10:51:41 2025,Wed Feb  5 03:36:22 2025,.py,fetchStructure.py,1.00 KB,Python Source File
oauth.py,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\oauth.py,778,Thu Feb  6 10:51:41 2025,Wed Feb  5 01:44:10 2025,.py,oauth.py,778 bytes,Python Source File
query.py,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\query.py,3619,Thu Feb  6 10:51:41 2025,Fri Feb  7 03:38:06 2025,.py,query.py,3.53 KB,Python Source File
requestFields.py,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\requestFields.py,810,Thu Feb  6 10:51:41 2025,Wed Feb  5 04:21:59 2025,.py,requestFields.py,810 bytes,Python Source File
requirement.txt,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\requirement.txt,89,Thu Feb  6 11:40:36 2025,Thu Feb  6 11:41:46 2025,.txt,requirement.txt,89 bytes,TXT File
series_data.csv,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\series_data.csv,28216,Thu Feb  6 10:51:41 2025,Wed Feb  5 04:50:13 2025,.csv,series_data.csv,27.5 KB,Microsoft Excel Comma Separated Values File
server.py,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\server.py,392,Fri Feb  7 02:48:35 2025,Fri Feb  7 03:45:59 2025,.py,server.py,392 bytes,Python Source File
sheetsLink.py,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\sheetsLink.py,0,Thu Feb  6 11:39:17 2025,Thu Feb  6 11:39:17 2025,.py,sheetsLink.py,0 bytes,Python Source File
sonarr-gsheets-67a7b1773585.json,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\sonarr-gsheets-67a7b1773585.json,2382,Thu Feb  6 10:51:41 2025,Wed Feb  5 01:34:20 2025,.json,sonarr-gsheets-67a7b1773585.json,2.32 KB,JSON File
sonarr.csv,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\sonarr.csv,88,Thu Feb  6 10:51:41 2025,Wed Feb  5 03:28:57 2025,.csv,sonarr.csv,88 bytes,Microsoft Excel Comma Separated Values File
sonarr_series.csv,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\sonarr_series.csv,44,Thu Feb  6 10:51:41 2025,Wed Feb  5 04:37:11 2025,.csv,sonarr_series.csv,44 bytes,Microsoft Excel Comma Separated Values File
sonarr_series_data.json,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\sonarr_series_data.json,3257300,Thu Feb  6 10:51:41 2025,Wed Feb  5 04:22:01 2025,.json,sonarr_series_data.json,3.10 MB,JSON File
updateGoogleSheets.py,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\updateGoogleSheets.py,2852,Thu Feb  6 10:51:41 2025,Wed Feb  5 01:56:34 2025,.py,updateGoogleSheets.py,2.78 KB,Python Source File
.gitignore,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.idea\.gitignore,50,Thu Feb  6 10:51:41 2025,Wed Feb  5 00:42:24 2025,,.gitignore,50 bytes,Git Ignore Source File
misc.xml,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.idea\misc.xml,177,Thu Feb  6 10:51:41 2025,Wed Feb  5 00:43:34 2025,.xml,misc.xml,177 bytes,XMLfile
modules.xml,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.idea\modules.xml,271,Thu Feb  6 10:51:41 2025,Wed Feb  5 00:42:24 2025,.xml,modules.xml,271 bytes,XMLfile
Sonarr.iml,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.idea\Sonarr.iml,405,Thu Feb  6 10:51:41 2025,Wed Feb  5 00:42:24 2025,.iml,Sonarr.iml,405 bytes,IML File
workspace.xml,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.idea\workspace.xml,2815,Thu Feb  6 10:51:41 2025,Fri Feb  7 04:06:55 2025,.xml,workspace.xml,2.74 KB,XMLfile
profiles_settings.xml,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.idea\inspectionProfiles\profiles_settings.xml,174,Thu Feb  6 10:51:41 2025,Wed Feb  5 00:42:24 2025,.xml,profiles_settings.xml,174 bytes,XMLfile
.gitignore,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.venv\.gitignore,42,Thu Feb  6 10:51:41 2025,Wed Feb  5 00:42:18 2025,,.gitignore,42 bytes,Git Ignore Source File
pyvenv.cfg,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.venv\pyvenv.cfg,242,Thu Feb  6 10:51:41 2025,Wed Feb  5 00:42:21 2025,.cfg,pyvenv.cfg,242 bytes,Configuration Source File
google_auth_httplib2.py,C:\_lib\data\_scripts_\py\_tut\projects\Sonarr\.venv\Lib\site-packages\google_auth_httplib2.py,10211,Thu Feb  6 11:48:32 2025,Thu Feb  6 11:48:32 2025,.py,google_auth_httplib2.py,9.97 KB,Python Source File
