Title,Year,Latest Season Count,File Count,Airing Day,Status
1883,2021,10,10,Unknown,ended
1899,2022,8,8,Unknown,ended
1923,2022,8,0,Sunday,continuing
24,2001,12,12,Unknown,ended
24: Legacy,2017,12,12,Unknown,ended
A Discovery of Witches,2018,7,7,Unknown,ended
A Spy Among Friends,2022,6,6,Unknown,ended
Absentia,2017,10,10,Unknown,ended
Aftermath (2016),2016,13,13,Unknown,ended
Agent X,2015,10,10,Unknown,ended
Alcatraz,2012,13,13,Unknown,ended
Alias,2001,17,17,Unknown,ended
Alice in Borderland (2020),2020,8,8,Unknown,continuing
Allegiance,2015,13,13,Unknown,ended
Alphas,2011,13,13,Unknown,ended
Altered Carbon,2018,8,8,Unknown,ended
American Gods,2017,10,10,Unknown,ended
Angel,1999,22,22,Unknown,ended
Animal Kingdom (2016),2016,13,13,Unknown,ended
APB,2017,12,12,Unknown,ended
Archer (2009),2009,9,9,Unknown,ended
Arnold,2023,3,3,Unknown,ended
Arrow,2012,10,10,Unknown,ended
Ascension,2014,3,3,Unknown,ended
Band of Brothers,2001,10,10,Unknown,ended
Barry,2018,8,8,Unknown,ended
Batwoman,2019,13,13,Unknown,ended
Beauty and the Beast (2012),2012,13,13,Unknown,ended
Being Human,2009,6,6,Unknown,ended
Beowulf: Return to the Shieldlands,2016,12,12,Unknown,ended
Berlin Station,2016,10,10,Unknown,ended
Betas,2013,11,11,Unknown,ended
Better Call Saul,2015,13,13,Unknown,ended
Beyond (2012),2012,20,10,Unknown,ended
Beyond Skinwalker Ranch,2023,8,8,Unknown,continuing
Billions,2016,12,12,Unknown,ended
Billy the Kid,2022,8,8,Unknown,continuing
Birds of Prey,2002,13,13,Unknown,ended
Bitten,2014,10,10,Unknown,ended
Black Bird,2022,6,6,Unknown,ended
Black Files Declassified,2020,8,8,Unknown,continuing
Black Lightning,2018,13,13,Unknown,ended
Black Mirror,2011,5,5,Unknown,continuing
Black Sails,2014,10,10,Unknown,ended
Blade,2006,12,12,Unknown,ended
Blindspot,2015,11,11,Unknown,ended
Blood & Treasure,2019,13,13,Unknown,ended
Boardwalk Empire,2010,8,8,Unknown,ended
Bones,2005,12,12,Unknown,ended
Bosch,2015,8,8,Unknown,ended
Bosch: Legacy,2022,1,0,Thursday,continuing
Breaking Bad,2008,16,16,Unknown,ended
Breakout Kings,2011,10,10,Unknown,ended
Britannia,2018,8,8,Unknown,ended
Buffy the Vampire Slayer,1997,22,22,Unknown,ended
Bull (2016),2016,22,22,Unknown,ended
Bupkis,2023,8,8,Unknown,ended
Burn Notice,2007,13,12,Unknown,ended
Camelot,2011,10,10,Unknown,ended
Carnival Row,2019,10,10,Unknown,ended
Carnivàle,2003,12,12,Unknown,ended
Caught (2018),2018,5,5,Unknown,ended
Chance,2016,10,10,Unknown,ended
