title,year,trakt_rating,trakt_id,imdb_id,tmdb_id,url,released,runtime,genres,Poster Link,Background poster,Description (long),Producer,Director(s),Writer(s),Stars,budget,budger_currency,worldwide_gross,worldwide_gross_currency
Queen of the Damned,2002,6.27175,6992,tt0238546,11979,https://trakt.tv/movies/queen-of-the-damned-2002,2002-04-04,101,"fantasy,horror,romance",https://image.tmdb.org/t/p/original/4MMpvQYgOz8K6lzlIVMXWjLzUPC.jpg,https://image.tmdb.org/t/p/original/dHkKPuiPSw9BbfAt1zdEZCuAzTX.jpg,"Lestat finds acceptance in a tattooed and pierced world, rekindling the desires of all-powerful Akasha.",Jorge Saralegui,Michael Rymer,Michael Petroni; Scott Abbott,Aaliyah; Stuart Townsend; Marguerite Moreau; Vincent Perez; Paul McGann,,,45479110,AUD
Head of State,2003,6.21348,5037,tt0325537,9776,https://trakt.tv/movies/head-of-state-2003,2003-03-28,95,"comedy,drama",https://image.tmdb.org/t/p/original/5itBve85q2oXmiQ3SkgCJa5Asxq.jpg,https://image.tmdb.org/t/p/original/12LmdeaGGitnPIdz9XcSlCQbuJ8.jpg,"When a presidential candidate dies unexpectedly in the middle of the campaign, the Democratic party unexpectedly picks a Washington, D.C. alderman as his replacement.",Ali LeRoi; Chris Rock; Michael Rotenberg,Chris Rock,Ali LeRoi; Chris Rock,Chris Rock; Bernie Mac; Dylan Baker; Nick Searcy; Lynn Whitfield,,,37788228,AUD
Safe,2012,6.86057,53166,tt1656190,72387,https://trakt.tv/movies/safe-2012,2012-04-16,94,"action,crime,thriller",https://image.tmdb.org/t/p/original/kOCpkoMUVae9UIf85gO71SyjLbW.jpg,https://image.tmdb.org/t/p/original/gc150q5RMjq5vXJddBk90dXFvlr.jpg,"After a former elite agent rescues a 12-year-old Chinese girl who's been abducted, they find themselves in the middle of a standoff between Triads, the Russian Mafia and high-level corrupt New York City politicians and police.",Dana Brunetti; John R. Woodward; Joseph Zolfo; Lawrence Bender,Boaz Yakin,Boaz Yakin,Jason Statham; Chris Sarandon; James Hong; Catherine Chan; Robert John Burke,30000000,USD,40300000,AUD
Animal Kingdom,2010,7.11977,30313,tt1313092,44629,https://trakt.tv/movies/animal-kingdom-2010,2010-06-03,113,"crime,drama",https://image.tmdb.org/t/p/original/zhj8YPQKuRev5N3KoHacsPnF4mB.jpg,https://image.tmdb.org/t/p/original/dxOv6K3LNbZfQaGDyx7Tp94Koy.jpg,"Joshua “J” is taken in by his extended family after his mother dies of an overdose. The clan, ruled by J’s scheming grandmother, is heavily involved in criminal activities, and J is soon indoctrinated into their way of life. But J is given a chance to take another path when a cop seeks to help him.",Liz Watts,David Michôd,David Michôd,Ben Mendelsohn; Joel Edgerton; Guy Pearce; Luke Ford; Jacki Weaver,5000000,USD,1000000,AUD
Knowing,2009,6.39358,8207,tt0448011,13811,https://trakt.tv/movies/knowing-2009,2009-03-20,121,"action,mystery,science-fiction,thriller",https://image.tmdb.org/t/p/original/OG0mxQt4YaNIWiz8EKJSHe9lPh.jpg,https://image.tmdb.org/t/p/original/s6h8MemlWFshLmPfd08syBpaTTK.jpg,A teacher opens a time capsule that has been dug up at his son's elementary school; in it are some chilling predictions -- some that have already occurred and others that are about to -- that lead him to believe his family plays a role in the events that are about to unfold.,Alex Proyas; Jason Blumenthal; Steve Tisch; Todd Black,Alex Proyas,Juliet Snowden; Ryne Douglas Pearson; Stiles White,Nicolas Cage; Rose Byrne; Chandler Canterbury; Ben Mendelsohn; Nadia Townsend,,,155446362,AUD
Crocodile Dundee in Los Angeles,2001,5.79981,4590,tt0231402,9290,https://trakt.tv/movies/crocodile-dundee-in-los-angeles-2001,2001-04-12,95,"adventure,comedy",https://image.tmdb.org/t/p/original/hwt6iJjPuXRDKJON5s9G9pdfPbu.jpg,https://image.tmdb.org/t/p/original/t5OzCbZncDwYZAM7tFnDeOxWg1R.jpg,"After settling in the tiny Australian town of Walkabout Creek with his significant other and his young son, Mick ""Crocodile"" Dundee is thrown for a loop when a prestigious Los Angeles newspaper offers his honey a job. The family migrates back to the United States, and Croc and son soon find themselves learning some lessons about American life -- many of them inadvertent",Conrad Hool; Lance Hool; Paul Hogan; Perry Katz,Simon Wincer,Eric Abrams; Matthew Berry,Paul Hogan; Linda Kozlowski; Jere Burns; Jonathan Banks; Alec Wilson,21150000,USD,39438674,AUD
The Alamo,2004,6.14798,5900,tt0318974,10733,https://trakt.tv/movies/the-alamo-2004,2004-04-09,137,"war,history,drama",https://image.tmdb.org/t/p/original/aZrWYkxCCwSPKp4VjVvn46uHbIX.jpg,https://image.tmdb.org/t/p/original/fy8E5sF1Phf5aihA3nxx4Qqxotl.jpg,"Based on the 1836 standoff between a group of Texan and Tejano men, led by Davy Crockett and Jim Bowie, and Mexican dictator Santa Anna's forces at the Alamo in San Antonio, Texas.",Mark Johnson; Ron Howard,John Lee Hancock,John Lee Hancock; Leslie Bohem; Stephen Gaghan,Dennis Quaid; Billy Bob Thornton; Jason Patric; Patrick Wilson; Emilio Echevarría,107000000,Argentine convertible peso,25819961,CAD
Pete's Dragon,2016,7.43252,191003,tt2788732,294272,https://trakt.tv/movies/pete-s-dragon-2016,2016-08-12,103,"adventure,family,fantasy",https://image.tmdb.org/t/p/original/A9x4Ogk8KUXTfU649NS6lS9TCmu.jpg,https://image.tmdb.org/t/p/original/ct9S0m2U2RTCFAVnq3y0nF0Tgb2.jpg,"For years, old wood carver Mr. Meacham has delighted local children with his tales of the fierce dragon that resides deep in the woods of the Pacific Northwest. To his daughter, Grace, who works as a forest ranger, these stories are little more than tall tales... until she meets Pete, a mysterious 10-year-old with no family and no home who claims to live in the woods with a giant, green dragon named Elliott. And from Pete's descriptions, Elliott seems remarkably similar to the dragon from Mr. Meacham's stories. With the help of Natalie, an 11-year-old girl whose father Jack owns the local lumber mill, Grace sets out to determine where Pete came from, where he belongs, and the truth about this dragon.",Jim Whitaker,David Lowery,David Lowery; Toby Halbrooks,Oakes Fegley; Bryce Dallas Howard; Wes Bentley; Karl Urban; Oona Laurence,65000000,USD,143695338,EUR
Creed III,2023,7.02834,512258,tt11145118,677179,https://trakt.tv/movies/creed-iii-2023,2023-03-03,116,"drama,action",https://image.tmdb.org/t/p/original/cvsXj3I9Q2iyyIo95AecSd1tad7.jpg,https://image.tmdb.org/t/p/original/5i6SjyDbDWqyun8klUuCxrlFbyw.jpg,"After dominating the boxing world, Adonis Creed has thrived in his career and family life. When a childhood friend and former boxing prodigy, Damian Anderson, resurfaces after serving a long sentence in prison, he is eager to prove that he deserves his shot in the ring. The face-off between former friends is more than just a fight. To settle the score, Adonis must put his future on the line to battle Damian — a fighter with nothing to lose.",Charles Winkler; David Winkler; Elizabeth Raposo; Irwin Winkler; Jonathan Glickman; Michael B. Jordan; Ryan Coogler; Sylvester Stallone; William Chartoff,Michael B. Jordan,Keenan Coogler; Zach Baylin,Michael B. Jordan; Tessa Thompson; Jonathan Majors; Phylicia Rashād; Mila Davis-Kent,75000000,USD,275300000,EUR
John Wick: Chapter 4,2023,7.65836,448646,tt10366206,603692,https://trakt.tv/movies/john-wick-chapter-4-2023,2023-03-24,170,"action,crime,thriller",https://image.tmdb.org/t/p/original/vZloFAK7NmvMGKE7VkF5UHaz0I.jpg,https://image.tmdb.org/t/p/original/7I6VUdPj6tQECNHdviJkUHD2u89.jpg,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",Basil Iwanyk; Chad Stahelski; Erica Lee,Chad Stahelski,Michael Finch; Shay Hatten,Keanu Reeves; Donnie Yen; Bill Skarsgård; Ian McShane; Laurence Fishburne,100000000,USD,440157245,EUR
